Corporation,SDGs_round1,SDGs_round2,Source Name,Source,Source Type,Source Date,Source Author,Explicit or Implicit,Notes,Relevant Country,Project,Entryist Initials
Litmos,NA,,NA,NA,NA,NA,NA,NA,"Litmos is a training platform that can be used in the nonprofit or healthcare setting. Can be seen as education centric, but debatable",NA,,KMW
Little Green Light,17,17,About (Our Team),https://www.littlegreenlight.com/about/,Webpage,NA,NA,Implicit,"""Little Green Light helps nonprofits improve fundraising and donor relationships""",,,KMW
LogMeIn (formerly Citrix),,17,Corporate Social Responsibility,https://www.logmeininc.com/corporate-social-responsibility,Webpage,NA,NA,Implicit,"""In addition to our investments, LogMeIn employees are given 16 hours a year to volunteer and participate in a wide range of activities from sorting food at local food banks, preparing meals for the homeless and underserved, helping students with entrepreneurial skills, interview and resume writing, packing clothing and supplies for children to teaching youth programming skills.""",United States ,Mission Posibble: Employee Volunteering,KMW
LogMeIn (formerly Citrix),,4,"STEM IN, LOGMEIN’S STEM EDUCATION INITIATIVE, REACHES 500+ KIDS AROUND THE GLOBE!",https://blog.logmeininc.com/stem-in-logmeins-stem-education-initiative-reaches-500-kids-around-the-globe/,Blog,12/20/18,Paddy Srinivasan,Implicit,"""STEM In initiative to create, participate in, and sponsor engaging STEM (science, technology, engineering and math) focused activities and programs geared towards children and young adults.""","United States, India, Germany",STEM IN,KMW
LogMeIn (formerly Citrix),"2, 4, 11, 12","3, 4, 11, 12",Corporate Social Responsibility,https://www.logmeininc.com/corporate-social-responsibility,Webpage,NA,NA,Explicit,"Explicitly mentions SDGs, but did not explicitly connect programs to the SDGs they thought they addressed",United States,,KMW
Mailshell,16,16,Twitter: @Mailshell,https://twitter.com/Mailshell/status/48467199517671425,Tweet,3/17/11,@MailShell,Implicit,"""Private industry has an opportunity and responsibility to create tech innovations that help law enforcements’ efforts. http://goo.gl/UkOdA""",,,KMW
Microsoft,"4, 5, 8, 10, 11, 12, 13",,2018 Microsoft Corporate Social Responsibility report highlights,2018-Microsoft-CSR-Report-Highlights.pdf,Report,2018,NA,Implicit,,"United States, Globe",,KMW
Microsoft,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",,Our commitment to sustainable development,https://www.microsoft.com/en-us/corporate-responsibility/un-sdgs,Webpage,NA,NA,Explicit,They just listed all the SDGs on this page; disconnect between talking about actual programs and the SDGs,,,KMW
MileIQ,NA,,MileIQ,https://www.mileiq.com/,Webpage,NA,NA,NA,MileIQ is a subsidary of Microsoft. See Microsoft SDG commitments,NA,,KMW
Mobile Beacon,"3, 4, 10, 17","4, 17",Our Mission,https://www.mobilebeacon.org/who-we-are/our-mission/,Webpage,NA,NA,Implicit,"""In a world of limited resources, we believe connecting nonprofits, schools and community anchor institutions is a critical investment in our nation’s future. Working in partnership with them, we can improve broadband access and digital literacy for millions of Americans, especially underserved groups such as the elderly, low-income and disabled.""",United States,,KMW
NonProfitEasy,17,17,Company Mission,https://www.nonprofiteasy.com/Company-Mission,Webpage,NA,NA,Implicit,"""Challenging the status quo for the greater good and changing the way nonprofits serve their communities""",,,KMW
Oracle NetSuite Social Impact,17,17,Mission,http://www.netsuite.com/portal/industries/nonprofit/social-impact.shtml,Webpage,NA,NA,Implicit,"""Our mission is to support the success of nonprofits globally through the power of cloud technology. We offer product donations and discounts, pro bono services and capacity building to support organizations of all sizes in growing their mission.""","Global, United States, United Kingdom, France, Australia, China, Hong Kong, Japan, Singapore, Netherlands, Germany, Sweden","Donations, Discounts, and Pro Bono",KMW
PayAnywhere,NA,,NA,NA,NA,NA,NA,NA,No information found regarding SDGs,NA,,KMW
People-OnTheGo,NA,,NA,http://www.people-onthego.com/,NA,NA,NA,NA,"A rather flimsy argument could be made for SDG 3 about wellbeing, since their webinars are often about mindfulness, but it's all in terms of company profit and efficiency",NA,,KMW
Priority,"2, 3",17,Priority Gives Back,https://www.priority-software.com/us/about-us/corporate-responsibility-2/,Webpage,NA,NA,Implicit,"Employee volunteer program without main commitments; ""This is achieved through packing and distributing holiday gift baskets, hosting costume parties with entertainment and surprises at a local children’s hospital, volunteer house painting for the aged and underprivileged, and harvesting fruit and vegetables several times a year, all of which are donated to needy families.""",United States,Priority Gives Back,KMW
QuestionPro,"3, 4",,,,,,,,"QuestionPro cites case studies of situations where their products were used for good things, but expresses no particular support for them.",,,KMW
QuickBooks Made Easy,17,17,About Us,https://quickbooksmadeeasy.com/about-us/,Webpage,NA,NA,Implicit,"""Presently, Gregg is teaching a live seminar designed exclusively for nonprofit organizations around the country.""",United States,Non-profit Seminar Series,KMW
Rain Design,"11, 13",,,,,,,,,,,
Reading Eggs,4,4,Who We Are,https://dev.blake.com.au/,Webpage,NA,NA,Implicit,"""Our mission is to help millions of kids around the world improve their literacy and numeracy skills in both a home and school setting.""","Australia, Global",,KMW
Reading Eggs,4,4,About Blake eLearning,https://readingeggs.com/about-blake/,Webpage,NA,NA,Implicit,"""Blake eLearning is a highly experienced team that specializes in creating high quality literacy products for schools and educators throughout the world""","United States, Global",,KMW
Refurbished Computers: Akooba,"11, 13",11,Building sustianability through environmentally responsible electronic reycling,https://www.akooba.com/electronics-recycling,Webpage,NA,NA,Implicit,"""Our Zero Landfill Policy represents our commitment to electronic recycling as we attempt to keep all electronics that pass through our facilities out of landfills.""",United States,,KMW
Refurbished Computers: BlueRange Technology,3,,Healthcare Products,http://www.bluerangetech.com/healthcare-products/,Webpage,NA,NA,Implicit,"""BlueRange Technology partners with pharmaceutical institutions, hospitals and other healthcare facilities to delivery complete IT solutions. """,United States,,KMW
Refurbished Computers: BlueRange Technology,4,4,Education: High Quality Hardware for Education Technology,http://www.bluerangetech.com/edu/,Webpage,NA,NA,Implicit,"""our full-service IT solutions offer K-12 schools new and certified refurbished computers and computer equipment,""",United States,,KMW
Refurbished Computers: InterConnection,,4,Impact: Creating Opportunity Through Access to Technology,https://interconnection.org/impact.php,Webpage,NA,NA,Implicit,"""In Chile, InterConnection provided 1,000 computers to rural schools.""",Chile,Donations to Rural Chilean Schools,KMW
Refurbished Computers: InterConnection,"1, 3, 4, 10, 17","3, 4, 17",Impact: Creating Opportunity Through Access to Technology,https://interconnection.org/impact.php,Webpage,NA,NA,Implicit,"""...bridge the digital divide.""; ""...provides a way to track and monitor cancer patients in third world countries, teach HIV education or allow an individual or family the opportunity to improve their lives.""; ""We offer laptops and desktops to low-income families and students at the lowest price possible""; ""Donations to InterConnection help us cut the average cost of setting up a computer lab in a school, library or community center by over 70%."" ; ""Every month, more than 200 nonprofits receive computers from InterConnection.""; """,Global,,KMW
Refurbished Computers: InterConnection,"11, 12, 13",11,Environmental Impact: Preserving Our Forests & Streams,https://interconnection.org/give_rec_vs_reuse.php,Webpage,NA,NA,Implicit,,NA,,KMW
Refurbished Computers: InterConnection,,4,Studio Samuel Foundation Uses Grant Computers to Teach Ethiopian Girls to Code,https://interconnection.org/studio-samuel-foundation-uses-grant-computers-to-teach-ethiopian-girls-to-code/,Blog,1/17/16,IT Admin Interconnection,Implicit,,Ethiopia,Training for Tomorrow,KMW
Refurbished Computers: InterConnection,"4, 10",4,Donations Make Meaningful Impact in Sri Lanka,https://interconnection.org/computer-donations-make-meaningful-impact-in-sri-lanka/,Webpage,NA,NA,Implicit,"""InterConnection shipped 18 computers to Care for Education, a nonprofit based in Texas, focused on community development through educational activities. The computers were then sent to Sri Lanka, where computer labs were setup in primary schools in the town of Mullaitivu.""",Sri Lanka,Care for Education Donation,KMW
Refurbished Computers: InterConnection,"4, 10",4,International: Connecting the World,https://interconnection.org/international.php,Webpage,NA,NA,Implicit,"""Manos Unidas uses computers from InterConnection to teach functional academics, independent life skills, sexual education, inclusive vocational and occupation education, and community inclusion.""",Peru,Manos Unidas Donation,KMW
Refurbished Computers: InterConnection,"4, 10",4,International: Connecting the World,https://interconnection.org/international.php,Webpage,NA,NA,Implicit,"""In Mozambique, our computers are being used by a Peace Corp Volunteer to teach students how to use a computer. The majority of these students had never used a computer before. Giving students hands on experience is especially valuable in a place like Mozambique, where applying learned concepts through practice is extremely rare.""",Mozambique,Peace Corp Sponsorship,KMW
Refurbished Computers: InterConnection,,"4, 11",Annual Report 2018,https://interconnection.org/2018-annual-report/,Report,2018,"Harry Egler, President",Implicit,"""2018 was a steady year for InterConnection as we worked to increase community awareness surrounding our mission to bridge the digital divide by providing affordable refurbished computers and high-speed internet to underserved communities in Seattle and across the U.S.

The digital divide is the economic and social inequality regarding access to information and communication technologies.""; 

""The average American household produces 176 pounds of e-waste every year, but thanks to committed supporters like you, we were able to prevent over 1 million pounds of e-waste from ending up in landfills""",United States,,KMW
Refurbished Computers: InterConnection,"1, 4,  8, 10, 17",4,National: Closing the Technology Gap in America,https://interconnection.org/national.php,Webpage,NA,NA,Implicit,"""They use our computer for their after-school tutoring program for homeless children""; ""Job training for at-risk in NYC""",United States,InterConnection National Donations Program,KMW
